PRN,G2_Delay_chips,G2_Initialization_HEX,First_24_Chips_HEX,Last_24_Chips_HEX
1,1845,514,5D6430,CFOOCE
2,1071,59E,4C2FFF,CFD228
3,170,49A,6CAF44,5F87BE
4,2035,346,9730AD,A1C4FF
5,1214,788,0E9C61,834161
6,1292,341,97C9DC,666CE4
7,1284,170,D05F98,715734
8,1894,7AB,0A99BD,31EDD1
9,1537,301,9FC265,633585
10,735,32E,9A355A,6EC903
11,561,4DE,642134,7EA2C9
12,1789,290,AC628C,8196A2
13,1453,4ED,624F75,8EZAZE
14,196,506,5F243A,1C689D
15,1040,30E,9E3086,EC65B3
16,326,230,B9FE79,650CEB
17,1787,270,B1F5C0,60558A
18,982,380,8E5B4C,050370
19,1030,2DC,A46935,84CFC3
20,1380,5C8,46E185,3D9FOC
21,1932,61E,3C371A,191A68
22,1188,720,1A77BE,FCF708
23,390,548,568A4F,D4F9C3
24,714,770,106822,685E33
25,303,32F,9A1ECD,CF8507
26,1001,600,3FF94B,A6F603
27,707,635,3945EC,309AFB
28,1984,487,690F54,10E331
29,139,730,184800,CC4B56
30,182,4BE,682F51,F95718
31,1891,55F,5418A3,61758F
32,1247,775,114827,81EA1A
33,1434,424,7873BB,6875A4
34,2000,603,3F85F3,45220E
35,1843,450,75EF32,5A0C39
36,865,OAB,EA83E1,3D3152
37,616,316,9D2C31,356DC4
38,514,44F,760AF4,44AC55
39,449,477,71139F,1F0892
40,1173,76F,1200BF,1A7A64
41,24,1F3,C1919D,5549C4
42,1383,189,C8C699,5A7081
43,1940,6BE,282584,910419
44,1594,6EB,229776,809030
45,1765,336,9929ED,B7C174
46,752,650,35E5D7,325F38
47,145,590,4C78D0,8D4A21
48,1615,74F,160563,98D6D4
49,1666,294,AD691E,C96E8F
50,1372,03F,F8067F,820FDC
51,1634,5AB,4A9358,59BEDO
52,1068,4F2,61AAB3,908442
53,1181,647,370883,640779
54,879,494,607630,71988C
55,1153,521,5BD897,596C36
56,1621,53D,584169,A41857
57,927,4DF,640AA3,DFEECD
58,1848,4A2,6BB62F,042379
59,402,2C3,A78CF3,9A6FAF
60,413,15F,D40D68,B1D38D
61,1090,3A2,88AC73,08FFFA
62,657,209,A6D04E,900F8B
63,609,329,9ACCZB,A96118
64,1547,214,BD7E6C,C3DC4D
65,370,532,59830A,284861
66,271,733,199278,E25764
67,1353,697,20006D,FA1C80
68,635,6DD,245769,F525C5
69,299,2FC,A06CE9,066373
70,697,471,710179,79EC8D
71,152,428,7A8158,E72592
72,678,706,1F2EDF,743B9C
73,1329,52F,5A01E3,777004
74,15,77F,10179A,888A3E
75,1974,526,5B21E6,9EC42D
76,1884,7FB,008521,A544EA
77,1868,220,BBE95C,F4FCB1
78,277,13C,D87FB5,D5F251
79,302,65F,341734,BDOFOE
80,9,7E3,039996,7C4C9D
81,603,254,8575D5,C6852C
82,1583,444,777DDE,EF8075
83,848,041,F7C64B,BA1665
84,1234,542,57AA4A,3D4DEA
85,1568,6EF,2212BF,A4E126
86,510,4F6,612F7A,84F654
87,1303,708,06EB60,55CCOD
88,1921,45F,741DD1,D55COF
89,823,654,35601E,16232E
90,1187,659,34C502,DBEB11
91,1299,486,6F363A,A2F3DF
92,824,72A,1AA558,9A1317
93,672,191,CDC8D7,902410
94,2034,68D,2E4BF5,618CFE
95,1388,OCD,E65F62,DC209C
96,13,5FE,40219A,4827F9
97,223,604,3F7C82,828A15
98,1840,282,AFACDD,3E7ACA
99,1161,36D,924258,88446F
100,1132,231,B9D5EE,C440EF
101,365,655,354889,B76F2A
102,2,1FF,C01FC6,39CDFF
103,924,6FB,208053,116D6A
104,1373,41F,7C1668,D0056E
105,959,6AC,ZA65BE,426C4A
106,220,026,FB315F,FA4BAF
107,1542,298,ACE745,A5EAB4
108,188,612,3DB941,759E50
109,264,100,C5E8F9,343179
110,453,2C7,A7093A,BE1389
111,68,534,5961EC,4DAC7E
112,715,7BE,082006,252099
113,75,7DA,04AB6A,86A45E
114,1095,510,5C4435,2684E7
115,938,39A,8CB518,535B3D
116,1316,786,OF39AD,7E895E
117,394,354,9570A7,72ACAC
118,1156,5A4,4861BB,D6EEES
119,166,1A4,CB7470,0648E4
120,969,529,5AD305,119418
121,269,4CE,663611,EF5293
122,179,5F2,41AFC1,24A3C2
123,957,280,A9E90B,6FBE29
124,400,30D,9E4C3E,OFB1BE
125,625,621,380700,851687
126,1513,572,518883,2E1100
127,1796,455,75416C,DF3C2B
128,100,4C5,674138,447EB3
129,1660,51E,5C388D,C560EA
130,1454,676,3132ED,D61797
131,1613,53C,586A7E,055453
132,1064,726,182803,F6972C
133,844,410,7DE48B,5F5558
134,518,544,5778AC,58A9F5
135,320,430,79E157,DDF9E8
136,661,3AC,8A7507,26E3C8
137,2031,468,728AE1,E27CF3
138,694,389,8EDE85,217F6A
139,1143,7DE,042EA3,A2D848
140,1167,3CD,8650F5,005A1D
141,1885,7FD,005707,C3A0F5
142,833,OBB,E894C4,ACC108
143,1601,600,3E5C87,6B3E3C
144,903,6F9,20077C,53F563
145,399,61A,3CB2D3,3D6670
146,1896,7EA,028993,95F884
147,899,798,OCF7FC,C16536
148,133,75A,14BC18,BC169C
149,556,307,870C48,0A3A39
150,331,5D1,4506A5,45DB7F
151,198,541,57D6F2,DE99E7
152,212,689,28DCC5,56AC02
153,1024,71E,1C3268,AD33EB
154,1070,330,987550,BDA150
155,1972,498,6CF86B,101FB7
156,1573,377,9109C3,130411
157,884,664,3372E7,057FC4
158,1177,476,713808,BE4496
159,1691,6BB,288BEA,143408
160,533,55E,543334,C03988
161,480,340,97E248,C720E0
162,751,440,6BE100,468870
163,447,1DE,C43180,1A2D4B
164,734,650,344018,FF9707
165,973,302,858533,1EFA71
166,857,32C,9A6275,2C510A
167,1767,2CD,A65587,84739D
168,1548,50A,SEAA61,70ECA6
169,1876,31A,9CA26A,59E9FF
170,614,459,74CF37,B3B810
171,1017,750,15E0A5,867688
172,1978,5D2,45AA1D,A60F72
173,275,4F3,618124,310646
174,1141,779,10C57C,ED6E21
175,1252,538,58930F,C2FC48
176,1952,719,1CCB19,6A9BF0
177,1714,146,D73A48,C997FE
178,1067,1E4,C37FC9,031185
179,557,5E3,439373,141F9C
180,522,554,556F89,CA59AF
181,1159,584,49769E,471E8C
182,545,288,AE8CD8,D7CEE3
183,1580,226,BB3BBA,9218AE
184,610,594,4D7342,C5B20C
185,935,4D4,657089,74C2ED
186,1134,48C,6E6A87,A893FB
187,780,020,FA6DE2,F02888
188,691,44E,762163,ESEOS1
189,1038,43A,78BDEA,D799CC
190,1418,6F0,21F779,BA414A
191,295,7C5,074EAC,980432
192,916,331,99D09C,70696F
193,1654,7BD,085C7E,C6F994
194,624,443,7784AF,282866
195,706,46A,72A176,4330F7
196,1033,758,14978F,2D5A98
197,1633,357,950C1F,9178A1
198,790,22C,BA6707,98788A
199,1451,385,894227,5EA7BB
200,1300,643,378E4A,407B6F
201,459,648,368508,088342
202,106,4D3,6584F8,B36AF6
203,861,282,A9BE24,2D2620
204,1541,530,59E425,690068
205,114,760,127007,F9AE69
206,1381,6E4,236595,OFCD06
207,1945,485,695878,527838
208,1069,679,30C00E,5947A1
209,242,112,DDA31D,794203
210,356,2DE,A43E1A,C657CA
